"Demographics","Subgroup","Total Cases","Year","Whites","Blacks","Chicanos/Hispanics","Asian-Americans"
"All","All","1532","1964","84.7","63.8","NA","NA"
"All","All","1273","1966","84.4","63.2","NA","NA"
"All","All","1503","1968","81.1","64.7","NA","NA"
"All","All","1469","1970","77.2","61.5","NA","NA"
"All","All","2120","1972","78.2","64","NA","NA"
"All","All","1525","1974","79.1","65.5","NA","NA"
"All","All","1869","1976","73.7","60.8","55.5","NA"
"All","All","1382","1980","77.4","64.2","57.8","NA"
"All","All","1321","1982","72.8","63.8","NA","NA"
"All","All","1902","1984","74.2","64.2","59.4","NA"
"All","All","2056","1986","NA","66.4","NA","NA"
"All","All","1735","1988","73.1","61.7","57","NA"
"All","All","1903","1990","NA","69.4","NA","NA"
"All","All","2218","1992","71.2","65.3","61","59.4"
"All","All","1749","1994","71.9","63.2","61.1","NA"
"All","All","1504","1996","71.4","66","63.8","NA"
"All","All","1228","1998","70.9","69.2","NA","NA"
"All","All","1492","2000","73.2","67.1","63.8","64.5"
"All","All","1291","2002","67.8","66.1","63","62.8"
"All","All","1054","2004","73.5","72.3","67.7","67.4"
"All","All","2072","2008","73","68.8","65.2","65"
"All","All","1903","2012","72.5","66.3","65.3","64.2"
"All","All","3578","2016","71.4","69","68.1","68.5"
"All","All","7262","2020","69.1","72.3","71.8","70.4"
"All","All","4810","2024","68.4","70.8","69.9","69.6"
"pid","Democrats (incl. leaners)","926","1964","84.9","64.9","NA","NA"
"pid","Democrats (incl. leaners)","690","1966","85.6","64.5","NA","NA"
"pid","Democrats (incl. leaners)","827","1968","80.8","66.7","NA","NA"
"pid","Democrats (incl. leaners)","797","1970","78.1","64.1","NA","NA"
"pid","Democrats (incl. leaners)","1064","1972","78.1","66.4","NA","NA"
"pid","Democrats (incl. leaners)","783","1974","79.5","66.9","NA","NA"
"pid","Democrats (incl. leaners)","929","1976","73.7","63","57.3","NA"
"pid","Democrats (incl. leaners)","710","1980","78.4","68","59.8","NA"
"pid","Democrats (incl. leaners)","726","1982","73.6","64.9","NA","NA"
"pid","Democrats (incl. leaners)","893","1984","74.8","66.1","60.3","NA"
"pid","Democrats (incl. leaners)","1034","1986","NA","68.9","NA","NA"
"pid","Democrats (incl. leaners)","825","1988","73.4","66.4","59.7","NA"
"pid","Democrats (incl. leaners)","979","1990","NA","71.7","NA","NA"
"pid","Democrats (incl. leaners)","1088","1992","71.8","68.3","63.1","59.6"
"pid","Democrats (incl. leaners)","817","1994","73.7","66.5","63.1","NA"
"pid","Democrats (incl. leaners)","786","1996","72.7","69.1","65.5","NA"
"pid","Democrats (incl. leaners)","628","1998","71.1","70.8","NA","NA"
"pid","Democrats (incl. leaners)","727","2000","73.1","70.3","65.1","65.4"
"pid","Democrats (incl. leaners)","595","2002","67.5","67.4","63.8","62.4"
"pid","Democrats (incl. leaners)","498","2004","73.7","75.5","68","68"
"pid","Democrats (incl. leaners)","1207","2008","73.1","72.3","67.7","66.5"
"pid","Democrats (incl. leaners)","1150","2012","72.4","71.2","69.2","66.4"
"pid","Democrats (incl. leaners)","1641","2016","70.1","73.9","72.3","70.8"
"pid","Democrats (incl. leaners)","3394","2020","66.7","77.9","75.6","74.1"
"pid","Democrats (incl. leaners)","2363","2024","67.2","76.1","73.9","72.9"
"pid","Independents","117","1964","80.7","56.2","NA","NA"
"pid","Independents","154","1966","80.4","62.2","NA","NA"
"pid","Independents","158","1968","81.2","61.7","NA","NA"
"pid","Independents","185","1970","73.5","58.4","NA","NA"
"pid","Independents","296","1972","76.1","63.9","NA","NA"
"pid","Independents","242","1974","77.7","65.3","NA","NA"
"pid","Independents","277","1976","71.9","58.7","54","NA"
"pid","Independents","198","1980","74","61.1","56.3","NA"
"pid","Independents","163","1982","68","60.6","NA","NA"
"pid","Independents","220","1984","72","64.3","59.4","NA"
"pid","Independents","269","1986","NA","62.7","NA","NA"
"pid","Independents","186","1988","72","57.2","55.8","NA"
"pid","Independents","221","1990","NA","65.7","NA","NA"
"pid","Independents","272","1992","68.9","65.5","59.4","59.1"
"pid","Independents","184","1994","66.9","59.2","56.2","NA"
"pid","Independents","130","1996","70","64.7","63.3","NA"
"pid","Independents","141","1998","69.9","67.7","NA","NA"
"pid","Independents","176","2000","70.5","61.5","61.3","59.8"
"pid","Independents","73","2002","62.4","58","56.1","58.2"
"pid","Independents","100","2004","68.3","66.3","61.7","59"
"pid","Independents","232","2008","70.5","65.8","61.2","60.1"
"pid","Independents","205","2012","73.6","61.7","62.7","60.6"
"pid","Independents","461","2016","68.3","65","63.8","64.1"
"pid","Independents","842","2020","63.7","67.3","68.5","65.7"
"pid","Independents","309","2024","61.2","61.5","61.7","62.6"
"pid","Republicans (incl. leaners)","463","1964","85.2","63.4","NA","NA"
"pid","Republicans (incl. leaners)","402","1966","84","61.3","NA","NA"
"pid","Republicans (incl. leaners)","498","1968","81.5","62.4","NA","NA"
"pid","Republicans (incl. leaners)","473","1970","77.4","58.2","NA","NA"
"pid","Republicans (incl. leaners)","755","1972","79.1","60.7","NA","NA"
"pid","Republicans (incl. leaners)","487","1974","79.4","62.9","NA","NA"
"pid","Republicans (incl. leaners)","640","1976","74.3","58.2","53.3","NA"
"pid","Republicans (incl. leaners)","472","1980","77.4","59.7","55.5","NA"
"pid","Republicans (incl. leaners)","419","1982","73.6","62.7","NA","NA"
"pid","Republicans (incl. leaners)","773","1984","74.2","62.1","58.4","NA"
"pid","Republicans (incl. leaners)","740","1986","NA","64.3","NA","NA"
"pid","Republicans (incl. leaners)","715","1988","73.3","57.3","54.4","NA"
"pid","Republicans (incl. leaners)","690","1990","NA","67.4","NA","NA"
"pid","Republicans (incl. leaners)","845","1992","71.3","61.5","59","59.4"
"pid","Republicans (incl. leaners)","736","1994","71.1","60.5","60.2","NA"
"pid","Republicans (incl. leaners)","580","1996","70","62.3","61.7","NA"
"pid","Republicans (incl. leaners)","447","1998","70.6","66.9","NA","NA"
"pid","Republicans (incl. leaners)","578","2000","74","64.8","62.8","64.9"
"pid","Republicans (incl. leaners)","585","2002","69.6","66.6","63.8","64.6"
"pid","Republicans (incl. leaners)","441","2004","74.5","70.3","68.8","68.6"
"pid","Republicans (incl. leaners)","599","2008","73.7","64.9","63.3","64.8"
"pid","Republicans (incl. leaners)","529","2012","72.5","61.7","61.4","62.7"
"pid","Republicans (incl. leaners)","1465","2016","74.1","64.8","64.7","67.4"
"pid","Republicans (incl. leaners)","3005","2020","73.3","67.5","68.7","67.6"
"pid","Republicans (incl. leaners)","2119","2024","70.8","66.3","66.6","67"
"gender","Men","687","1964","84.8","62","NA","NA"
"gender","Men","567","1966","81.9","61.8","NA","NA"
"gender","Men","665","1968","80.3","62.7","NA","NA"
"gender","Men","633","1970","76.4","59","NA","NA"
"gender","Men","920","1972","76.6","61.8","NA","NA"
"gender","Men","644","1974","77.2","62.5","NA","NA"
"gender","Men","773","1976","70.3","57.8","53.7","NA"
"gender","Men","602","1980","74.8","61.8","56.1","NA"
"gender","Men","591","1982","70.1","59.9","NA","NA"
"gender","Men","843","1984","72.3","60.9","57.5","NA"
"gender","Men","904","1986","NA","63.9","NA","NA"
"gender","Men","751","1988","71.8","59.7","57","NA"
"gender","Men","864","1990","NA","65.8","NA","NA"
"gender","Men","1029","1992","69.5","62.5","59.4","58.3"
"gender","Men","816","1994","70.4","59.9","59.9","NA"
"gender","Men","669","1996","70.1","64.4","62.3","NA"
"gender","Men","555","1998","68.1","65.6","NA","NA"
"gender","Men","649","2000","72.1","66","62.9","64"
"gender","Men","559","2002","65.2","64.7","62","62.2"
"gender","Men","503","2004","72.3","71.1","67.4","67.7"
"gender","Men","894","2008","70.6","65.7","62.9","63.2"
"gender","Men","816","2012","70.5","63.8","63.9","63.1"
"gender","Men","1662","2016","69.9","66.9","66.9","67.8"
"gender","Men","3306","2020","68.7","70.4","70.3","70"
"gender","Men","2225","2024","68.1","68.2","68.7","68.7"
"gender","Women","845","1964","84.7","65.3","NA","NA"
"gender","Women","706","1966","86.3","64.4","NA","NA"
"gender","Women","838","1968","81.7","66.3","NA","NA"
"gender","Women","836","1970","77.8","63.4","NA","NA"
"gender","Women","1200","1972","79.4","65.8","NA","NA"
"gender","Women","881","1974","80.6","67.7","NA","NA"
"gender","Women","1096","1976","76.2","62.9","56.9","NA"
"gender","Women","780","1980","79.5","66.1","59.2","NA"
"gender","Women","730","1982","75","67","NA","NA"
"gender","Women","1059","1984","75.7","66.9","61","NA"
"gender","Women","1152","1986","NA","68.4","NA","NA"
"gender","Women","984","1988","74.1","63.2","57.1","NA"
"gender","Women","1039","1990","NA","72.5","NA","NA"
"gender","Women","1189","1992","72.8","67.7","62.5","60.5"
"gender","Women","933","1994","73.3","66.2","62.1","NA"
"gender","Women","835","1996","72.5","67.4","65","NA"
"gender","Women","673","1998","73.3","72.2","NA","NA"
"gender","Women","843","2000","74","67.9","64.6","64.9"
"gender","Women","732","2002","69.8","67.2","63.8","63.3"
"gender","Women","551","2004","74.7","73.5","67.9","67.1"
"gender","Women","1178","2008","75","71.3","67.1","66.6"
"gender","Women","1087","2012","74.4","68.6","66.5","65.3"
"gender","Women","1877","2016","72.9","71","69.3","69.1"
"gender","Women","3913","2020","69.6","74","73.3","70.8"
"gender","Women","2559","2024","68.7","73.2","70.9","70.5"
"education","Non-college","1357","1964","85.4","63.8","NA","NA"
"education","Non-college","1146","1966","85","63.2","NA","NA"
"education","Non-college","1300","1968","81.9","64.1","NA","NA"
"education","Non-college","1294","1970","78.2","60.8","NA","NA"
"education","Non-college","1827","1972","79.2","64","NA","NA"
"education","Non-college","1301","1974","80.2","66.2","NA","NA"
"education","Non-college","1567","1976","74.7","61.1","55.5","NA"
"education","Non-college","1134","1980","78.8","64.8","57.7","NA"
"education","Non-college","1069","1982","73.9","63.9","NA","NA"
"education","Non-college","1553","1984","74.2","63.1","58.1","NA"
"education","Non-college","1631","1986","NA","66","NA","NA"
"education","Non-college","1344","1988","73.7","61","56.3","NA"
"education","Non-college","1507","1990","NA","68.5","NA","NA"
"education","Non-college","1652","1992","72.3","65.4","60.5","58.3"
"education","Non-college","1285","1994","72.6","62.7","59.9","NA"
"education","Non-college","1080","1996","72.5","66.5","63.6","NA"
"education","Non-college","887","1998","71.5","69.7","NA","NA"
"education","Non-college","1019","2000","73.7","66.7","63.1","63"
"education","Non-college","831","2002","68","66","62.6","61.7"
"education","Non-college","737","2004","73.7","71.7","66.4","65.7"
"education","Non-college","1616","2008","73.3","68.4","64.2","63.3"
"education","Non-college","1430","2012","72","65.5","64","62"
"education","Non-college","2126","2016","71.2","68","66.2","66.3"
"education","Non-college","3873","2020","68.3","71.1","70.3","67.7"
"education","Non-college","2538","2024","68.4","70","68.4","67.7"
"education","College grad+","166","1964","80","64.7","NA","NA"
"education","College grad+","123","1966","78.1","64.4","NA","NA"
