Demographics,Subgroup,Total Cases,Year,Whites,Blacks,Chicanos/Hispanics,Asian-Americans,Average Unemployment Rate
race,"White, non-Hispanic",1367,1964,86.7,60.7,,,5.158333333333333
race,"Black, non-Hispanic",155,1964,66.8,91.9,,,5.158333333333333
race,"Black, non-Hispanic",131,1966,72.9,87.9,,,3.7916666666666665
race,"White, non-Hispanic",1126,1966,85.7,60.4,,,3.7916666666666665
race,Hispanic,12,1966,,,,,3.7916666666666665
race,"Other/Multiple races, non-Hispanic",4,1966,,,,,3.7916666666666665
race,Hispanic,12,1968,,,,,3.558333333333333
race,"White, non-Hispanic",1344,1968,82.4,61.7,,,3.558333333333333
race,"Other/Multiple races, non-Hispanic",3,1968,,,,,3.558333333333333
race,"Black, non-Hispanic",144,1968,67.9,91.5,,,3.558333333333333
race,"Black, non-Hispanic",144,1970,64.3,87.4,,,4.983333333333333
race,Hispanic,14,1970,,,,,4.983333333333333
race,"White, non-Hispanic",1303,1970,78.8,58.7,,,4.983333333333333
race,"Other/Multiple races, non-Hispanic",8,1970,,,,,4.983333333333333
race,Hispanic,26,1972,,,,,5.6000000000000005
race,"White, non-Hispanic",1871,1972,79.7,61.2,,,5.6000000000000005
race,"Other/Multiple races, non-Hispanic",15,1972,,,,,5.6000000000000005
race,"Black, non-Hispanic",208,1972,64.9,89.8,,,5.6000000000000005
race,"Black, non-Hispanic",139,1974,72.8,86.7,,,5.641666666666667
race,"Other/Multiple races, non-Hispanic",9,1974,,,,,5.641666666666667
race,Hispanic,22,1974,,,,,5.641666666666667
race,"White, non-Hispanic",1345,1974,79.8,63.3,,,5.641666666666667
race,Hispanic,36,1976,,,,,7.699999999999999
race,"White, non-Hispanic",1637,1976,74.7,57.9,54.3,,7.699999999999999
race,"Other/Multiple races, non-Hispanic",13,1976,,,,,7.699999999999999
race,"Black, non-Hispanic",167,1976,67.5,87.9,62.9,,7.699999999999999
race,Hispanic,51,1980,78.3,65.7,75.6,,7.175000000000001
race,"Other/Multiple races, non-Hispanic",15,1980,,,,,7.175000000000001
race,"White, non-Hispanic",1158,1980,77.4,60.6,56.2,,7.175000000000001
race,"Black, non-Hispanic",158,1980,79.1,91.2,65.8,,7.175000000000001
race,"Black, non-Hispanic",144,1982,69.0,78.3,,,9.708333333333332
race,Hispanic,46,1982,66.3,59.1,,,9.708333333333332
race,"Other/Multiple races, non-Hispanic",10,1982,,,,,9.708333333333332
race,"White, non-Hispanic",1118,1982,73.6,62.1,,,9.708333333333332
race,"White, non-Hispanic",1538,1984,74.9,62.5,58.1,,7.508333333333334
race,"Black, non-Hispanic",201,1984,71.2,78.5,60.9,,7.508333333333334
race,Hispanic,115,1984,72.5,64.7,74.4,,7.508333333333334
race,"Other/Multiple races, non-Hispanic",40,1984,67.4,58.2,57.6,,7.508333333333334
race,"Other/Multiple races, non-Hispanic",36,1986,,64.9,,,7.0
race,"White, non-Hispanic",1598,1986,,63.2,,,7.0
race,"Black, non-Hispanic",301,1986,,82.7,,,7.0
race,Hispanic,116,1986,,69.5,,,7.0
race,"Black, non-Hispanic",202,1988,69.5,83.5,62.6,,5.491666666666666
race,"White, non-Hispanic",1337,1988,73.8,57.4,53.6,,5.491666666666666
race,Hispanic,138,1988,72.8,68.5,80.4,,5.491666666666666
race,"Other/Multiple races, non-Hispanic",48,1988,71.1,67.6,61.0,,5.491666666666666
race,"White, non-Hispanic",1443,1990,,66.7,,,5.616666666666666
race,"Black, non-Hispanic",245,1990,,83.9,,,5.616666666666666
race,"Other/Multiple races, non-Hispanic",52,1990,,63.6,,,5.616666666666666
race,Hispanic,157,1990,,74.0,,,5.616666666666666
race,Hispanic,180,1992,71.4,69.7,78.8,63.5,7.491666666666667
race,"Other/Multiple races, non-Hispanic",48,1992,65.6,60.3,60.1,69.8,7.491666666666667
race,"White, non-Hispanic",1708,1992,71.4,61.3,58.2,58.4,7.491666666666667
race,"Black, non-Hispanic",275,1992,71.7,88.0,67.2,61.8,7.491666666666667
race,"Other/Multiple races, non-Hispanic",32,1994,63.6,60.8,57.9,,6.1000000000000005
race,"Black, non-Hispanic",191,1994,75.2,82.5,68.3,,6.1000000000000005
race,"White, non-Hispanic",1345,1994,71.2,59.5,58.0,,6.1000000000000005
race,Hispanic,144,1994,74.3,68.0,77.8,,6.1000000000000005
race,"Other/Multiple races, non-Hispanic",35,1996,68.0,65.4,60.0,,5.408333333333334
race,Hispanic,123,1996,71.3,69.1,77.9,,5.408333333333334
race,"Black, non-Hispanic",157,1996,76.6,84.7,73.3,,5.408333333333334
race,"White, non-Hispanic",1181,1996,70.8,63.0,60.8,,5.408333333333334
race,"White, non-Hispanic",906,1998,69.8,66.4,,,4.5
race,"Black, non-Hispanic",143,1998,77.0,84.1,,,4.5
race,Hispanic,140,1998,73.0,72.4,,,4.5
race,"Other/Multiple races, non-Hispanic",24,1998,61.4,58.9,,,4.5
race,"Other/Multiple races, non-Hispanic",77,2000,73.7,69.0,64.7,69.5,3.9666666666666663
race,Hispanic,105,2000,73.6,69.7,78.8,64.8,3.9666666666666663
race,"White, non-Hispanic",1153,2000,73.0,64.3,61.7,64.0,3.9666666666666663
race,"Black, non-Hispanic",149,2000,73.8,82.2,67.1,65.1,3.9666666666666663
race,Hispanic,78,2002,68.9,69.6,72.9,64.9,5.783333333333334
race,"Other/Multiple races, non-Hispanic",71,2002,64.6,64.1,60.6,62.9,5.783333333333334
race,"Black, non-Hispanic",111,2002,63.4,68.9,60.5,60.4,5.783333333333334
race,"White, non-Hispanic",1023,2002,68.5,65.6,62.6,63.0,5.783333333333334
race,"White, non-Hispanic",749,2004,73.7,69.1,66.2,67.2,5.541666666666667
race,"Black, non-Hispanic",153,2004,74.0,87.3,68.7,66.4,5.541666666666667
race,"Other/Multiple races, non-Hispanic",44,2004,69.9,67.3,64.6,71.5,5.541666666666667
race,Hispanic,93,2004,72.9,74.5,79.1,69.4,5.541666666666667
race,"Black, non-Hispanic",491,2008,75.2,85.9,69.1,68.7,5.8
race,"White, non-Hispanic",1028,2008,73.2,66.1,62.3,64.2,5.8
race,Hispanic,462,2008,71.0,70.0,80.7,66.1,5.8
race,"Other/Multiple races, non-Hispanic",72,2008,69.1,66.9,67.0,69.8,5.8
race,"Other/Multiple races, non-Hispanic",133,2012,68.2,66.1,61.3,63.5,8.075000000000001
race,Hispanic,437,2012,72.8,68.5,84.4,68.3,8.075000000000001
race,"White, non-Hispanic",855,2012,73.1,62.7,61.6,62.8,8.075000000000001
race,"Black, non-Hispanic",474,2012,71.5,85.5,72.4,70.0,8.075000000000001
race,"Black, non-Hispanic",336,2016,65.0,83.2,69.5,66.5,4.875
race,"White, non-Hispanic",2595,2016,73.3,66.9,66.3,68.2,4.875
race,Hispanic,354,2016,67.7,69.4,79.3,69.3,4.875
race,"Other/Multiple races, non-Hispanic",274,2016,68.1,67.6,65.6,72.1,4.875
race,"White, non-Hispanic",5292,2020,71.2,69.9,70.2,70.2,8.100000000000001
race,"Black, non-Hispanic",623,2020,62.4,85.5,71.2,66.4,8.100000000000001
race,Hispanic,647,2020,66.4,73.1,81.0,72.3,8.100000000000001
race,"Other/Multiple races, non-Hispanic",628,2020,66.1,72.6,71.9,75.1,8.100000000000001
race,"Black, non-Hispanic",427,2024,66.0,82.6,69.0,67.1,4.033333333333334
race,"White, non-Hispanic",3484,2024,70.2,69.5,69.1,69.7,4.033333333333334
race,Hispanic,496,2024,66.0,69.0,76.6,69.9,4.033333333333334
race,"Other/Multiple races, non-Hispanic",362,2024,63.9,68.5,67.5,72.5,4.033333333333334
